u,v,w
-4.4948324287089285e-06,-9.584513677561487e-06,9.985992560464852e-06
-3.546783612859669e-06,-1.2801688282334996e-05,5.968873758324148e-06
-2.153494124076127e-06,-1.452881258186433e-05,1.220809540218545e-06
-4.6321613472627606e-07,-1.4573783226243174e-05,-3.757440130020598e-06
1.3452205202654565e-06,-1.2919300264489722e-05,-8.434664314592759e-06
1.2664841885040779e-06,-1.3164041126570407e-05,-8.677307801306714e-06
3.045785062418908e-06,-9.909794379892539e-06,-1.2632863348987223e-05
4.574908695395429e-06,-5.423250183621637e-06,-1.5320002206560258e-05
5.6871716241953715e-06,-1.8652273463367032e-07,-1.6426365556418962e-05
6.257106748474732e-06,5.2224392374130235e-06,-1.5812612519439578e-05
6.216142710231168e-06,1.0196258865585731e-05,-1.3537578183142781e-05
5.5633857850750475e-06,1.417420471336617e-05,-9.856647880933576e-06
4.3684535786273386e-06,1.6714132258316772e-05,-5.189875450418524e-06
2.7643883487608476e-06,1.7545679926527816e-05,-6.551733292156765e-08
9.312504143048091e-07,1.6596130598850465e-05,4.948164134548554e-06
-9.264746828263867e-07,1.3989098598808103e-05,9.309428246970256e-06
-2.604486546694199e-06,1.0021869292521085e-05,1.25593280358976e-05
-3.921666070209791e-06,5.128043326383246e-06,1.4364416936399107e-05
-4.739003044515514e-06,-1.6946665912647787e-07,1.4545226311656932e-05
-4.9730220801708695e-06,-5.311300640880261e-06,1.3090242414595511e-05
-4.602956298207623e-06,-9.75667209116081e-06,1.0154994021482462e-05
-3.6714365091438553e-06,-1.3036358148448737e-05,6.046314018098045e-06
-2.278984937515666e-06,-1.4799251218166507e-05,1.1928992918064073e-06
-5.731433575858194e-07,-1.4848481483035749e-05,-3.895523871494013e-06
1.2664841885040736e-06,-1.3164041126570414e-05,-8.677307801306707e-06
1.1495763432789246e-06,-1.3297675506312712e-05,-8.860789294246295e-06
2.961013931341519e-06,-1.0006059044144196e-05,-1.2875201258067438e-05
4.536768423468432e-06,-5.4608763299391085e-06,-1.5601779071669612e-05
5.704755307162274e-06,-1.4975489886330533e-07,-1.671955115746611e-05
6.332219494070374e-06,5.339066728320474e-06,-1.60839470950365e-05
6.342760623612234e-06,1.0385059039075413e-05,-1.3754765727478934e-05
5.728811780019823e-06,1.4415226123318146e-05,-9.995436067377235e-06
4.555798362104874e-06,1.697982264408606e-05,-5.239124314342273e-06
2.9554527198476183e-06,1.7807284637771666e-05,-2.828553316341135e-08
1.1089209379329245e-06,1.6829136700334227e-05,5.057308007934293e-06
-7.766945193173167e-07,1.4176120762709567e-05,9.46899587442629e-06
-2.493674856133058e-06,1.0153009853583946e-05,1.2745369670412212e-05
-3.857076841600542e-06,5.199740923797655e-06,1.4553702571298222e-05
-4.72380416710652e-06,-1.5599931045087993e-07,1.4716978809821058e-05
-5.006097543648315e-06,-5.351334683124652e-06,1.3226798106716925e-05
-4.678820977473248e-06,-9.842625463355353e-06,1.0241907486056453e-05
-3.7803661439596146e-06,-1.3157867334045233e-05,6.072373491602636e-06
-2.4074722071806293e-06,-1.494284605219882e-05,1.1504287274942737e-06
-7.047852266783183e-07,-1.4997224737572204e-05,-4.009805365665436e-06
1.149576343278922e-06,-1.3297675506312724e-05,-8.86078929424629e-06
1.0027671453712798e-06,-1.3410501840412398e-05,-9.025980657428805e-06
2.8447456220830395e-06,-1.0088471866955346e-05,-1.3095311755286782e-05
4.46915410518863e-06,-5.491916862650454e-06,-1.585940372507619e-05
5.698183366277261e-06,-1.129101141741204e-07,-1.698771461003922e-05
6.390842013611536e-06,5.450139753007945e-06,-1.632942369224682e-05
6.461604867917118e-06,1.0562908061315989e-05,-1.3945001783207696e-05
5.894998923752666e-06,1.4639496465860845e-05,-1.010669328732153e-05
4.751392861990434e-06,1.722272082979376e-05,-5.262151526516421e-06
3.1607505185132682e-06,1.804096876728244e-05,3.0927311099245275e-08
1.305078269791359e-06,1.703163097615058e-05,5.181265801807487e-06
-6.060867471827383e-07,1.4333877548985938e-05,9.634412142964962e-06
-2.3618150846214224e-06,1.0260380997794965e-05,1.2928295733932201e-05
-3.7735148735070322e-06,5.256797800697036e-06,1.4732760417925576e-05
-4.694033875741902e-06,-1.4585549385097688e-07,1.4874641411680017e-05
-5.031114595894757e-06,-5.383085401789702e-06,1.3349308332874588e-05
-4.7547430208480665e-06,-9.910337139620029e-06,1.0318556972163676e-05
-3.898274594752035e-06,-1.3254415200266257e-05,6.094774050358185e-06
-2.553639833358486e-06,-1.5058923052964815e-05,1.1122920654733835e-06
-8.614463619054541e-07,-1.512011213516871e-05,-4.111985029592264e-06
1.002767145371278e-06,-1.3410501840412405e-05,-9.025980657428803e-06
8.336996712258039e-07,-1.3575461338208005e-05,-9.202623744076228e-06
2.7128113092219615e-06,-1.021465732357299e-05,-1.3342944452115429e-05
4.394337859811152e-06,-5.552212834951693e-06,-1.61569600665002e-05
5.693694451574027e-06,-8.581880717571256e-08,-1.7301671267965037e-05
6.460148272323408e-06,5.57307000138678e-06,-1.661787166125195e-05
6.597490021534085e-06,1.0772315239407752e-05,-1.4166490616570561e-05
6.081269870919315e-06,1.4909344138082425e-05,-1.0230743418416173e-05
4.966566352843529e-06,1.751741229874638e-05,-5.276535602803597e-06
3.3821143872476745e-06,1.8324883045098563e-05,1.1931150294241724e-07
1.5117225178143014e-06,1.7276613000208094e-05,5.351230561914897e-06
-4.316798048197268e-07,1.452236481894627e-05,9.857657199861698e-06
-2.2331859254625407e-06,1.0384664452366532e-05,1.317567434127787e-05
-3.7000028384671527e-06,5.316327515262952e-06,1.4978109203618776e-05
-4.680515941188468e-06,-1.4733443602107636e-07,1.5096236031136363e-05
-5.077631812935158e-06,-5.439542808950064e-06,1.352973863748145e-05
-4.856137647067535e-06,-1.0014271606039155e-05,1.0443898812518368e-05
-4.04402589440268e-06,-1.3396536952794473e-05,6.153786490087623e-06
-2.728087799343298e-06,-1.5227007828634603e-05,1.0962286459531618e-06
-1.0445905776308421e-06,-1.5297561508281586e-05,-4.208476323455952e-06
8.336996712258004e-07,-1.3575461338208014e-05,-9.202623744076225e-06
6.478949399782422e-07,-1.3826905724679092e-05,-9.39879269909449e-06
2.573888273462798e-06,-1.041266850108164e-05,-1.3635974962425262e-05
4.323253971363199e-06,-5.660109977266277e-06,-1.6520029673800422e-05
5.703300752074927e-06,-7.45808612644151e-08,-1.7691267573416265e-05
6.5517582345027755e-06,5.714981900932831e-06,-1.697896051319051e-05
6.759989810774812e-06,1.1032587661375796e-05,-1.4444106270260845e-05
6.293591119237013e-06,1.5253321268496196e-05,-1.0383892009389993e-05
5.202563204572787e-06,1.7897575986243257e-05,-5.287800272161504e-06
3.615649779707345e-06,1.8693447204587586e-05,2.426595718793524e-07
1.7201477051937376e-06,1.7595276732612218e-05,5.583494753843668e-06
-2.660483379436524e-07,1.4766338114037948e-05,1.016379147182763e-05
-2.1228813179280185e-06,1.0541824181422775e-05,1.3519016931035115e-05
-3.6526118422143213e-06,5.3840406226641626e-06,1.532502160577704e-05
-4.698752348950868e-06,-1.6552401824333224e-07,1.541789906652535e-05
-5.159188999989664e-06,-5.5362097426440995e-06,1.380215732906477e-05
-4.993466529149143e-06,-1.0179065349537202e-05,1.0647160472291969e-05
-4.22424886322587e-06,-1.3615911187597906e-05,6.271380752449175e-06
-2.9332552089960816e-06,-1.54830554315967e-05,1.1150726183694882e-06
-1.2524953761183017e-06,-1.5566528242844655e-05,-4.2967535174572165e-06
6.478949399782389e-07,-1.3826905724679104e-05,-9.398792699094491e-06
4.487405291381759e-07,-1.4152803241145209e-05,-9.598305994038496e-06
2.4285564727053997e-06,-1.0674927879780426e-05,-1.3955928956414553e-05
4.253815301713087e-06,-5.812682195794349e-06,-1.69300216657356e-05
5.722637610429117e-06,-8.033980031599764e-08,-1.8139291872185766e-05
6.659427070106567e-06,5.871381198333132e-06,-1.739744683664738e-05
6.941262545809261e-06,1.133614581920342e-05,-1.4764665668360367e-05
6.5228021682331465e-06,1.5660558194678037e-05,-1.0555344382192075e-05
5.449409722801306e-06,1.8348969390823728e-05,-5.288493132301222e-06
3.8514277026087295e-06,1.912974915963509e-05,4.037976432970303e-07
1.921576359135071e-06,1.7969725131492673e-05,5.875335814963751e-06
-1.1571964666086047e-07,1.504923933545067e-05,1.0544549455925677e-05
-2.0343509771577534e-06,1.0719011079644359e-05,1.394561649369373e-05
-3.631331374025763e-06,5.452664762991221e-06,1.5758352855106794e-05
-4.745397339288459e-06,-2.011169178882879e-07,1.5824561993809216e-05
-5.269707172489639e-06,-5.6672188209006355e-06,1.4154144640422398e-05
-5.158896324030815e-06,-1.039331238210069e-05,1.092077160058551e-05
-4.430560632199547e-06,-1.3897444007790498e-05,6.446300376278109e-06
-3.161454659358356e-06,-1.581065628881807e-05,1.1743484385454997e-06
-1.4792529469375934e-06,-1.591175596983395e-05,-4.3651494552285476e-06
4.4874052913817277e-07,-1.4152803241145217e-05,-9.598305994038493e-06
2.383855988836138e-07,-1.4501518592060508e-05,-9.76669188048808e-06
2.2711513719988304e-06,-1.0963428441687754e-05,-1.42560546252088e-05
4.1736389635902915e-06,-5.988654934010958e-06,-1.7333754617014216e-05
5.73438691741496e-06,-9.942651126719516e-08,-1.8591743636575507e-05
6.7628929073026685e-06,6.028976602919072e-06,-1.7823142420850956e-05
7.119965919423747e-06,1.1654084024420292e-05,-1.5085596933020934e-05
6.748212707598451e-06,1.6088445026581876e-05,-1.0713772330653549e-05
5.688858836730969e-06,1.8818369726430646e-05,-5.262181435428896e-06
4.075545318577463e-06,1.9574811454263554e-05,6.012897188932489e-07
2.1082219233543897e-06,1.83416654451013e-05,6.2062693876356264e-06
1.8886300623065314e-08,1.5320519772353243e-05,1.0961763701882159e-05
-1.9602482044123795e-06,1.087985608752987e-05,1.4403571287958121e-05
-3.6216426817228625e-06,5.50474911275959e-06,1.6218440041829523e-05
-4.800302704578912e-06,-2.5030376444384877e-07,1.6255910690614258e-05
-5.385704892128438e-06,-5.807853547946354e-06,1.453198647805656e-05
-5.32836902465665e-06,-1.0614368638081061e-05,1.1224044823120331e-05
-4.641191989850541e-06,-1.4185774287818827e-05,6.6556412246772044e-06
-3.395803498742861e-06,-1.6148486805608386e-05,1.2713757332286567e-06
-1.714832427640667e-06,-1.627332359729102e-05,-4.3963488322752525e-06
2.3838559888360868e-07,-1.450151859206051e-05,-9.766691880488065e-06
1.8639030399076068e-08,-1.480213173987581e-05,-9.864459861295447e-06
2.0933910433829626e-06,-1.1225459499251072e-05,-1.4480313657168554e-05
4.066116640134736e-06,-6.157712168063229e-06,-1.7666378871041196e-05
5.7162507733484785e-06,-1.2504288001944095e-07,-1.8982401517243277e-05
6.8369806701096394e-06,6.171988377178243e-06,-1.8194539677404994e-05
7.270544041506583e-06,1.194985406221587e-05,-1.5355072641621374e-05
6.946078717303444e-06,1.6482146398584874e-05,-1.0821860175144609e-05
5.901171399419445e-06,1.9236730760777797e-05,-5.191062870534097e-06
4.274555977671841e-06,1.9951898054363803e-05,8.292851443544666e-07
