u,v,w
-1.6202016490128085e-05,-1.0204233733432501e-06,-4.982118959729156e-07
-1.3444125150793986e-05,-3.8836981919008895e-06,-9.531113641371525e-06
-7.647641643089235e-06,-6.11547358165922e-06,-1.7149846182454667e-05
9.278611112444225e-07,-7.5164445778129254e-06,-2.316120411204995e-05
-1.276801548768099e-06,-3.696693064492269e-06,-2.2591053933847525e-05
9.433668913758123e-06,-4.964744179632939e-06,-2.7101763243202967e-05
2.3484234123436794e-05,-6.637385786464134e-06,-2.9222682144553638e-05
4.20641367806404e-05,-8.982817526901224e-06,-2.828327038344471e-05
6.75077061563926e-05,-1.2281566545691723e-05,-2.326041051841648e-05
0.00010370127004731737,-1.6238792529649572e-05,-1.3328144282892058e-05
0.00015256365305350776,-1.7197415384316233e-05,-1.3150101995508494e-06
0.00019157524262665475,-5.188847047410039e-06,2.5645879977378842e-06
0.00017515229922025874,1.3598716942053137e-05,4.907523132991106e-06
0.0001268083289370406,1.907547015944266e-05,1.8540564115349416e-05
8.319673485924226e-05,1.5946891454572127e-05,3.213915139450693e-05
4.945285929190529e-05,1.1467751275927483e-05,3.899539723931697e-05
2.3664903409700183e-05,7.648446121968947e-06,3.868771454206616e-05
4.815666927364677e-06,4.6906301015123925e-06,3.2738735415829075e-05
-7.576532988553422e-06,2.457004699250212e-06,2.332125111137801e-05
-1.4231916637213507e-05,7.707470041138999e-07,1.251724388208217e-05
-1.6130625778024437e-05,-5.392039773686871e-07,1.8320014343699286e-06
-1.4209770876832937e-05,-1.6280190305931885e-06,-7.856015986806465e-06
-9.14588864008806e-06,-2.635315094753054e-06,-1.6087850613383214e-05
-1.2768015487681025e-06,-3.6966930644922735e-06,-2.2591053933847545e-05
-1.2115958176128905e-06,1.8509898951026477e-06,-2.2619239133436812e-05
9.468184273172435e-06,3.045364385888326e-06,-2.7113893544939127e-05
2.346950079828595e-05,4.658669611466054e-06,-2.920568770556322e-05
4.196217801150764e-05,6.961921288376138e-06,-2.8211080230497747e-05
6.725839188723478e-05,1.0250483580010188e-05,-2.308351114486185e-05
0.00010325404542480233,1.41939827149556e-05,-1.2987235001477294e-05
0.0001517570154239038,1.4870157752832171e-05,-9.447504091675121e-07
0.0001890365332090825,3.181259083873832e-06,2.5099681270913235e-06
0.00017140213901619737,-1.1821038127576975e-05,4.741462499335941e-06
0.00012488652380227268,-1.4670577195867157e-05,1.834510954168492e-05
8.282639463133798e-05,-1.1955194091436237e-05,3.1944877845158175e-05
4.9648395710502224e-05,-8.866894343399217e-06,3.885633267033128e-05
2.3971244920948256e-05,-6.380439007548168e-06,3.859638867696993e-05
5.094545845021212e-06,-4.463990507068859e-06,3.2673926008269945e-05
-7.350795879849901e-06,-2.98087886425415e-06,2.3267954704990817e-05
-1.4053765308688291e-05,-1.809345368025163e-06,1.2468426935616919e-05
-1.5989429720799843e-05,-8.406267622852874e-07,1.785780058526883e-06
-1.409701942424994e-05,2.6152904276673735e-08,-7.89893176611799e-06
-9.056892586164885e-06,8.884370600138975e-07,-1.6125293469922834e-05
-1.2115958176129058e-06,1.8509898951026545e-06,-2.2619239133436846e-05
-6.197218797782711e-06,4.556650918734957e-06,-1.8353407987969985e-05
2.745210295594377e-06,5.737034487574534e-06,-2.4036364142909255e-05
1.4663599661320601e-05,5.834403054191953e-06,-2.785212416529285e-05
3.0297450739220607e-05,4.443719953823678e-06,-2.9431046912929667e-05
5.1244952542500916e-05,9.655978377786179e-07,-2.813354117244849e-05
8.052816433335133e-05,-5.19980056775062e-06,-2.3025443835604317e-05
0.00012240924458304224,-1.2926635431094481e-05,-1.3628385840944673e-05
0.00017295535657130091,-1.3383339254891205e-05,-3.1392897378781653e-06
0.00019199550236674622,3.3197504574048683e-06,3.668865232636845e-06
0.00015530286742751874,1.315168810087436e-05,1.4754814087016423e-05
0.00010721562099935094,7.265027007999497e-06,2.857836605655062e-05
6.840997392394743e-05,-1.0124142613693436e-06,3.7550599343218465e-05
3.842484402147241e-05,-6.372695359542988e-06,3.9836270074077823e-05
1.561773395903033e-05,-8.39278263792428e-06,3.620205573900898e-05
-5.653327437312243e-07,-7.842715549756275e-06,2.8358085040082058e-05
-1.0583856165668005e-05,-5.719443378642628e-06,1.8307168676602355e-05
-1.5256607346774387e-05,-2.899637276950009e-06,7.745506425569348e-06
-1.556901439737675e-05,-5.770840203269307e-09,-2.2259813754222843e-06
-1.2367125988856834e-05,2.5671057584518267e-06,-1.102183742805245e-05
-6.197218797782707e-06,4.5566509187349645e-06,-1.8353407987970013e-05
-6.187234821836123e-06,8.474615144252096e-06,-1.679955153400032e-05
2.733304066840498e-06,1.1634614480944606e-05,-2.1669151902208577e-05
1.4618040850559143e-05,1.4240908171237114e-05,-2.445328080997152e-05
3.0188987182559517e-05,1.6301116927490604e-05,-2.461171214477392e-05
5.100473427771353e-05,1.777728832310954e-05,-2.1270297316007685e-05
8.000157113340506e-05,1.8452318665021673e-05,-1.3327387154753514e-05
0.00012130258693871421,1.7304037780444018e-05,-1.1901589157020025e-06
0.000170844215063309,1.0773461155393484e-05,6.707139555144232e-06
0.00018896556382248095,-3.705513442410988e-06,6.890878390291501e-07
0.00015355917736015526,-1.6254659741256106e-05,2.878228565102945e-06
0.00010695278145702917,-2.1956318670630128e-05,1.6721066231255558e-05
6.863206388450408e-05,-2.3536182876480662e-05,2.8338048376190412e-05
3.8699685645150603e-05,-2.244801138485143e-05,3.3224246071084264e-05
1.5839091551147718e-05,-1.9311657669939726e-05,3.1689486327039865e-05
-4.0640550930491996e-07,-1.4783126045701292e-05,2.546990517225729e-05
-1.0474292936798833e-05,-9.607631305753657e-06,1.6665501218624053e-05
-1.5182546881921968e-05,-4.408795242492373e-06,7.07574627849889e-06
-1.552055578866718e-05,4.3165675403835457e-07,-2.09950357406412e-06
-1.2338663024621943e-05,4.742149588756508e-06,-1.0183326705974757e-05
-6.187234821836141e-06,8.47461514425211e-06,-1.6799551534000348e-05
-1.3118087615840852e-05,5.637808924339995e-06,-7.843620710445407e-06
